ordinal,file,size_bytes,duration_seconds,duration_minutes
1,01 Introduction.MP4,84620395,172.167,2.87
2,02-Understanding Position.mp4,179461419,750.208,12.5
3,03-Hand Ranges and Board Texture.mp4,413378065,1672.918,27.88
4,04-Ranges Hand Review.mp4,99698558,734.251,12.24
5,05-Game Theory and Math.mp4,154277335,669.526,11.16
6,06-C-Betting.mp4,255007823,956.288,15.94
7,07-Check-Raising.mp4,103733250,428.523,7.14
8,08-Three-Betting.mp4,150427189,549.334,9.16
9,09-Three-Betting Hand Review.mp4,31300103,263.915,4.4
10,10-Detecting and Executing the Bluff.mp4,242451597,871.36,14.52
11,11-Executing the Bluff Hand Reviews.mp4,272490833,1825.792,30.43
12,12-Bet Sizing.mp4,119070324,424.982,7.08
13,13-Overbetting.mp4,152382316,632.747,10.55
14,14-Multi-way Dynamics.mp4,244774580,827.2,13.79
15,15-Mixed Strategy.mp4,262655516,1109.782,18.5
16,16 Mixed Strategy. Hand Review.MP4,144411603,293.792,4.9
17,17-Pre- and Postflop Mistakes.mp4,164039916,608.32,10.14
18,18 Tournament Strategy. Early and Middle Stages.MP4,366223796,744.75,12.41
19,19 Tournament Strategy. On the Bubble.MP4,303406364,616.792,10.28
20,20-Tournament Strategy Late Stages and Final Table.mp4,176920978,617.536,10.29
21,21-Universal Tournament Strategy.mp4,134162375,572.907,9.55
22,22-Cash Games.mp4,218015656,701.078,11.68
23,23 Masking Tells.MP4,359580013,731.375,12.19
24,"24 Spotting Tells, Part 1.MP4",333880850,680.125,11.34
25,"25-Spotting Tells, Part 2.mp4",99488265,558.528,9.31
26,26-Spotting Tells Hand Reviews.mp4,83627503,843.819,14.06
27,27-Table Talk.mp4,105068688,629.483,10.49
28,28-How to Think at the Poker Table.mp4,102958533,674.283,11.24
29,29-Managing and Exploiting Tilt.mp4,265798896,1150.784,19.18
30,30-Table Image and Metagame.mp4,178786082,952.982,15.88
31,31-Table Image and Metagame Hand Reviews.mp4,89001333,809.323,13.49
32,32-Player Profiling.mp4,245282080,856.235,14.27
33,33-Game Selection.mp4,173745857,784.0,13.07
34,34-Bankroll Management.mp4,143163425,678.827,11.31
35,35 Off-Felt Training.MP4,408147244,830.125,13.84
36,36-Life as a Poker Player.mp4,207262661,860.331,14.34
37,37-Closing.mp4,26023770,189.483,3.16
38,38-Bonus Material Online Play.mp4,84915961,347.542,5.79
