schema_version,source,source_version,node_id,game,players,hero_position,effective_stack_bb,pot_bb,board,hero_cards,action_history,rake_model,utility_model,allowed_sizes,action,frequency,ev
1.0.0,example_multistreet_solver_export,2026.08-fixture,hu_btn_open_ako_preflop,holdem_no_limit,2,BTN,99,1.5,,As Kd,,training_no_rake,chip_ev,2.5|3,fold,0.00,0.00
1.0.0,example_multistreet_solver_export,2026.08-fixture,hu_btn_open_ako_preflop,holdem_no_limit,2,BTN,99,1.5,,As Kd,,training_no_rake,chip_ev,2.5|3,raise_to:2.5,0.75,0.18
1.0.0,example_multistreet_solver_export,2026.08-fixture,hu_btn_open_ako_preflop,holdem_no_limit,2,BTN,99,1.5,,As Kd,,training_no_rake,chip_ev,2.5|3,raise_to:3,0.25,0.17
1.0.0,example_multistreet_solver_export,2026.08-fixture,hu_ako_a72r_flop,holdem_no_limit,2,BTN,97,6.5,Ah 7c 2d,As Kd,BTN raise_to:3|BB call|BB check,training_no_rake,chip_ev,0.33|0.62,check,0.10,2.30
1.0.0,example_multistreet_solver_export,2026.08-fixture,hu_ako_a72r_flop,holdem_no_limit,2,BTN,97,6.5,Ah 7c 2d,As Kd,BTN raise_to:3|BB call|BB check,training_no_rake,chip_ev,0.33|0.62,bet:0.33,0.70,2.55
1.0.0,example_multistreet_solver_export,2026.08-fixture,hu_ako_a72r_flop,holdem_no_limit,2,BTN,97,6.5,Ah 7c 2d,As Kd,BTN raise_to:3|BB call|BB check,training_no_rake,chip_ev,0.33|0.62,bet:0.62,0.20,2.40
1.0.0,example_multistreet_solver_export,2026.08-fixture,hu_ako_a72r9_turn,holdem_no_limit,2,BTN,94.85,10.8,Ah 7c 2d 9s,As Kd,BTN raise_to:3|BB call|BB check|BTN bet:2.15|BB call|BB check,training_no_rake,chip_ev,0.5|0.75,check,0.18,4.12
1.0.0,example_multistreet_solver_export,2026.08-fixture,hu_ako_a72r9_turn,holdem_no_limit,2,BTN,94.85,10.8,Ah 7c 2d 9s,As Kd,BTN raise_to:3|BB call|BB check|BTN bet:2.15|BB call|BB check,training_no_rake,chip_ev,0.5|0.75,bet:0.5,0.62,4.38
1.0.0,example_multistreet_solver_export,2026.08-fixture,hu_ako_a72r9_turn,holdem_no_limit,2,BTN,94.85,10.8,Ah 7c 2d 9s,As Kd,BTN raise_to:3|BB call|BB check|BTN bet:2.15|BB call|BB check,training_no_rake,chip_ev,0.5|0.75,bet:0.75,0.20,4.29
1.0.0,example_multistreet_solver_export,2026.08-fixture,hu_ako_a72r94_river,holdem_no_limit,2,BTN,86.75,27,Ah 7c 2d 9s 4h,As Kd,BTN raise_to:3|BB call|BB check|BTN bet:2.15|BB call|BB check|BTN bet:8.1|BB call|BB check,training_no_rake,chip_ev,0.75|1,check,0.35,9.70
1.0.0,example_multistreet_solver_export,2026.08-fixture,hu_ako_a72r94_river,holdem_no_limit,2,BTN,86.75,27,Ah 7c 2d 9s 4h,As Kd,BTN raise_to:3|BB call|BB check|BTN bet:2.15|BB call|BB check|BTN bet:8.1|BB call|BB check,training_no_rake,chip_ev,0.75|1,bet:0.75,0.25,9.82
1.0.0,example_multistreet_solver_export,2026.08-fixture,hu_ako_a72r94_river,holdem_no_limit,2,BTN,86.75,27,Ah 7c 2d 9s 4h,As Kd,BTN raise_to:3|BB call|BB check|BTN bet:2.15|BB call|BB check|BTN bet:8.1|BB call|BB check,training_no_rake,chip_ev,0.75|1,bet:1,0.40,9.91
